samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_DEFME_0001_Lv_M_PE_320_WT	0.008365	99.7	1.374	0.1260548	81.9	48.5007	29.3443	10.0362	12.1188	99.6185	77.845	63.7997	0.985636	2.107784	15	PROJECT_DEFME	CMP-01-02-SUR-T2	181018_M00753_0068_d4wv5
PROJECT_DEFME_0002_Lv_M_PE_310_WT	0.012393	99.7	1.425	0.1866964	76.5	33.1284	37.1191	12.5023	17.2502	99.7584	70.2475	53.7789	1.021156	1.075	22.5	PROJECT_DEFME	CMP-01-03-SUR-T1	181018_M00753_0068_d4wv5
PROJECT_DEFME_0003_Lv_M_PE_297_WT	0.012159	99.9	1.573	0.183465	82.2	37.9688	24.9408	11.343	25.7474	99.671	62.9096	51.758	0.837312	1.002823	8.2	PROJECT_DEFME	CMP-01-04-SUR-T4	181018_M00753_0068_d4wv5
PROJECT_DEFME_0003_Lv_M_PE_302_WT	0.011036	99.8	1.543	0.1664624	81.5	37.1156	25.6351	12.5641	24.6853	99.7139	62.7506	51.1666	0.933436	1.086207	9.2	PROJECT_DEFME	CMP-01-04-SUR-T3	181018_M00753_0068_d4wv5
PROJECT_DEFME_0003_Lv_M_PE_307_WT	0.009946	99.9	1.482	0.1500638	78	41.0786	28.8917	11.6393	18.3904	99.4686	69.9703	54.5891	1.018303	0.654904	8.8	PROJECT_DEFME	CMP-01-04-SUR-T1	181018_M00753_0068_d4wv5
PROJECT_DEFME_0003_Lv_M_PE_308_WT	0.013496	99.8	1.381	0.203548	80.4	37.8447	27.5394	21.23	13.3859	99.4595	65.3841	52.5807	0.948683	0.866667	10.9	PROJECT_DEFME	CMP-01-04-SUR-T2	181018_M00753_0068_d4wv5
PROJECT_DEFME_0005_Cc_M_PE_319_WT	0.013267	99.8	1.444	0.2000448	78.1	42.8158	29.8408	13.6754	13.668	99.671	72.6567	56.7495	1.034905	1.542553	11.3	PROJECT_DEFME	CMP-01-06-SUR-T1	181018_M00753_0068_d4wv5
PROJECT_DEFME_0005_Lv_M_PE_317_WT	0.011084	99.9	1.409	0.1672174	80.9	41.293	24.7509	18.0946	15.8614	99.8051	66.0439	53.4358	0.952752	1.284968	5.9	PROJECT_DEFME	CMP-01-06-SUR-T2	181018_M00753_0068_d4wv5
PROJECT_DEFME_0005_Lv_M_PE_322_WT	0.009817	99.9	1.347	0.1481008	82.6	47.2147	30.9611	8.0039	13.8202	99.7298	78.1758	64.5863	1.030606	1.492063	12.5	PROJECT_DEFME	CMP-01-06-SUR-A	181018_M00753_0068_d4wv5
PROJECT_COCKAREL_0012_Ln_P_PE_305_WT	0.075371	99.6	1.921	1.133708	81.8	6.9446	42.0118	38.8761	12.1675	96.8566	48.9564	40.0804	0.957017	0.838862	35.7	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
